user_id,item_id,rank,pred_rating
1,865,1,4.336974143981934
1,443,2,4.563153266906738
1,302,3,5.3057684898376465
1,498,4,4.561578750610352
1,615,5,4.342461585998535
1,657,6,4.97519588470459
1,1524,7,4.3416571617126465
1,1007,8,4.239213466644287
1,889,9,3.90942645072937
1,222,10,4.686054229736328
2,519,1,4.189100742340088
2,1629,2,3.78957462310791
2,484,3,4.1464385986328125
2,423,4,4.184634208679199
2,419,5,3.8861076831817627
2,164,6,3.8027353286743164
2,811,7,3.750086784362793
2,189,8,4.461645126342773
2,953,9,4.10837459564209
2,480,10,4.1844987869262695
3,179,1,3.412533760070801
3,657,2,3.795142889022827
3,399,3,3.249295234680176
3,198,4,3.136887788772583
3,478,5,3.4951024055480957
3,275,6,3.190429210662842
3,183,7,3.100003957748413
3,153,8,3.3739075660705566
3,177,9,3.559927463531494
3,178,10,3.573732852935791
4,178,1,5.24725341796875
4,165,2,4.990296363830566
4,50,3,5.041310787200928
4,1670,4,4.607876300811768
4,433,5,4.798190593719482
4,200,6,4.663440704345703
4,657,7,5.214172840118408
4,507,8,4.862465858459473
4,482,9,5.250922203063965
4,602,10,5.224146842956543
5,750,1,4.419558525085449
5,474,2,4.55888557434082
5,648,3,4.650396347045898
5,61,4,4.421159744262695
5,660,5,4.507026195526123
5,1124,6,4.028397560119629
5,1019,7,4.124776363372803
5,615,8,4.232138633728027
5,242,9,3.84580397605896
5,530,10,4.509093284606934
6,443,1,4.496711730957031
6,647,2,4.5145063400268555
6,694,3,4.1665520668029785
6,835,4,4.239404201507568
6,1070,5,3.89982533454895
6,186,6,3.790700912475586
6,114,7,4.004425525665283
6,1362,8,3.808932304382324
6,1201,9,3.587146282196045
6,916,10,3.5666446685791016
7,1216,1,4.063907146453857
7,347,2,5.228699684143066
7,1243,3,4.207766056060791
7,302,4,4.81264591217041
7,1400,5,4.3941731452941895
7,114,6,4.387986183166504
7,945,7,4.557846546173096
7,185,8,4.871572971343994
7,500,9,4.5825114250183105
7,1007,10,4.395688533782959
8,151,1,4.171168804168701
8,234,2,4.917070388793945
8,656,3,4.075497150421143
8,221,4,4.205747127532959
8,114,5,4.647914886474609
8,639,6,4.022130489349365
8,211,7,4.579938888549805
8,474,8,4.888520240783691
8,169,9,5.396231651306152
8,498,10,4.520665168762207
9,1073,1,4.316406726837158
9,257,2,4.122922897338867
9,513,3,4.506333351135254
9,1589,4,3.990079879760742
9,478,5,4.155742168426514
9,48,6,3.842499256134033
9,528,7,4.289485931396484
9,1523,8,3.8667728900909424
9,484,9,4.450113773345947
9,694,10,3.9561874866485596
10,448,1,4.213823318481445
10,313,2,5.072029113769531
10,115,3,4.377630710601807
10,132,4,4.919808387756348
10,177,5,4.129725933074951
10,163,6,4.171938896179199
10,1084,7,4.314225673675537
10,126,8,4.554046154022217
10,684,9,4.697783470153809
10,213,10,4.590367794036865
11,963,1,4.773994445800781
11,189,2,4.855263710021973
11,478,3,4.1671319007873535
11,27,4,3.785980701446533
11,533,5,3.7608163356781006
11,269,6,4.35326623916626
11,1159,7,4.116274833679199
11,638,8,4.338274955749512
11,850,9,4.056576251983643
11,149,10,4.017399787902832
12,961,1,4.173367500305176
12,519,2,4.571437358856201
12,747,3,4.479794502258301
12,194,4,4.574814319610596
12,233,5,4.584156036376953
12,60,6,4.892117023468018
12,1,7,5.268036365509033
12,505,8,4.173338413238525
12,190,9,4.179797649383545
12,850,10,4.269650936126709
13,1147,1,4.078287124633789
13,466,2,3.885965585708618
13,169,3,3.695359230041504
13,141,4,3.5892090797424316
13,1512,5,4.007900238037109
13,1190,6,3.4761295318603516
13,521,7,3.874422550201416
13,694,8,4.376437664031982
13,102,9,3.6971681118011475
13,1154,10,3.7969539165496826
14,115,1,4.754117012023926
14,55,2,5.392187118530273
14,1159,3,4.222322940826416
14,249,4,4.65200138092041
14,896,5,4.777735710144043
14,171,6,5.39224100112915
14,177,7,4.891147136688232
14,420,8,4.393035888671875
14,318,9,4.134092330932617
14,257,10,4.222616195678711
15,1286,1,3.6761634349823
15,493,2,4.353358268737793
15,656,3,4.2062482833862305
15,208,4,4.444011688232422
15,631,5,3.911562919616699
15,1512,6,3.4185075759887695
15,648,7,4.676779270172119
15,189,8,4.604997158050537
15,485,9,3.523149251937866
15,589,10,3.9833686351776123
16,611,1,4.664999961853027
16,510,2,4.985561370849609
16,1278,3,4.3906378746032715
16,903,4,4.396494388580322
16,425,5,4.6767096519470215
16,119,6,4.887761116027832
16,879,7,4.683870315551758
16,520,8,5.408869743347168
16,519,9,4.808356285095215
16,888,10,4.481732368469238
17,79,1,4.0112690925598145
17,127,2,4.190692901611328
17,344,3,3.613894462585449
17,655,4,3.7277867794036865
17,190,5,4.079240322113037
17,169,6,3.723008871078491
17,1367,7,3.543177604675293
17,657,8,3.968346118927002
17,922,9,3.754157066345215
17,432,10,3.768946886062622
18,589,1,4.437427043914795
18,1017,2,4.158109664916992
18,96,3,3.8829455375671387
18,399,4,4.133009433746338
18,1131,5,4.477254390716553
18,155,6,4.190969944000244
18,320,7,4.23989725112915
18,447,8,3.8208887577056885
18,251,9,4.860867023468018
18,315,10,4.458810806274414
19,1007,1,4.2574143409729
19,589,2,4.244665622711182
19,511,3,4.4563517570495605
19,408,4,4.337115287780762
19,657,5,3.9651408195495605
19,445,6,3.9228627681732178
19,493,7,4.3724589347839355
19,211,8,4.101327896118164
19,1129,9,3.8675971031188965
19,474,10,4.437225341796875
20,134,1,4.1640729904174805
20,430,2,3.908957004547119
20,488,3,3.965872287750244
20,528,4,3.7698872089385986
20,489,5,3.5581066608428955
20,307,6,4.230563163757324
20,478,7,4.296701431274414
20,903,8,3.5121378898620605
20,114,9,4.055475234985352
20,169,10,4.144879341125488
21,812,1,3.683654308319092
21,168,2,4.299549102783203
21,1187,3,4.031927108764648
21,515,4,4.898309230804443
21,633,5,3.628380298614502
21,132,6,4.060154438018799
21,13,7,3.6007816791534424
21,276,8,4.588333606719971
21,511,9,4.037154197692871
21,661,10,3.772568464279175
22,611,1,4.4109883308410645
22,135,2,4.123666763305664
22,408,3,5.05838680267334
22,615,4,4.610509872436523
22,318,5,4.591557502746582
22,966,6,3.957179546356201
22,1084,7,4.114538192749023
22,12,8,5.348989963531494
22,603,9,4.894375801086426
22,1201,10,4.383017539978027
23,491,1,4.621305465698242
23,466,2,3.9046661853790283
23,190,3,4.555670738220215
23,1019,4,4.459782123565674
23,604,5,4.061560153961182
23,645,6,3.953359365463257
23,16,7,3.9225006103515625
23,488,8,4.514542102813721
23,282,9,3.8811285495758057
23,1203,10,4.5858049392700195
24,663,1,5.097956657409668
24,661,2,4.2102532386779785
24,84,3,4.170467376708984
24,57,4,4.928916931152344
24,1065,5,4.202497482299805
24,513,6,5.0036211013793945
24,131,7,4.644072532653809
24,160,8,4.256577491760254
24,519,9,4.4881157875061035
24,694,10,4.636991500854492
25,603,1,4.398133277893066
25,533,2,3.8790459632873535
25,648,3,4.144458293914795
25,89,4,4.335555553436279
25,272,5,4.617105960845947
25,431,6,4.2224555015563965
25,530,7,4.351357460021973
25,75,8,3.949045419692993
25,83,9,4.6080145835876465
25,96,10,4.267337322235107
26,705,1,3.8169074058532715
26,853,2,3.905933141708374
26,603,3,4.158067226409912
26,568,4,3.7329938411712646
26,202,5,3.749417304992676
26,1131,6,3.337712049484253
26,837,7,3.758739471435547
26,50,8,4.070588111877441
26,1159,9,3.544616460800171
26,642,10,3.4642739295959473
27,313,1,4.0250630378723145
27,479,2,4.1109089851379395
27,228,3,3.521606922149658
27,648,4,3.696101665496826
27,300,5,3.864762544631958
27,143,6,3.6014316082000732
27,513,7,4.150087356567383
27,1367,8,3.606112241744995
27,116,9,4.113984107971191
27,660,10,3.68837308883667
28,474,1,4.194591999053955
28,530,2,4.160299301147461
28,156,3,4.600070476531982
28,119,4,4.234872341156006
28,190,5,4.496123313903809
28,178,6,4.577447891235352
28,451,7,4.00047492980957
28,191,8,3.956948757171631
28,171,9,4.302717208862305
28,1500,10,4.094110488891602
29,429,1,4.308337688446045
29,114,2,4.777433395385742
29,170,3,4.426875591278076
29,489,4,4.266155242919922
29,966,5,4.291470527648926
29,484,6,4.4626617431640625
29,584,7,4.277601718902588
29,174,8,4.066530227661133
29,463,9,4.335508346557617
29,156,10,4.702497482299805
30,178,1,4.935290336608887
30,1,2,4.903681755065918
30,611,3,4.117586612701416
30,922,4,3.9998910427093506
30,813,5,4.428371429443359
30,186,6,4.2207441329956055
30,1159,7,4.155861854553223
30,109,8,3.9281935691833496
30,519,9,4.48742151260376
