user_id,item_id,rating,timestamp,genre_id
196,242,3,881250949,5
22,377,1,878887116,4
22,377,1,878887116,5
298,474,4,884182806,15
298,474,4,884182806,17
115,265,2,881171488,1
115,265,2,881171488,16
253,465,5,891628467,2
253,465,5,891628467,4
253,465,5,891628467,14
62,257,2,879372434,1
62,257,2,879372434,2
62,257,2,879372434,5
62,257,2,879372434,15
200,222,5,876042340,1
200,222,5,876042340,2
200,222,5,876042340,15
122,387,5,879270459,8
291,1042,4,874834944,13
291,1042,4,874834944,16
234,1184,2,892079237,7
299,144,4,877881320,1
299,144,4,877881320,16
291,118,2,874833878,1
291,118,2,874833878,2
291,118,2,874833878,16
308,1,4,887736532,3
308,1,4,887736532,4
308,1,4,887736532,5
95,546,2,879196566,1
95,546,2,879196566,16
38,95,5,892430094,3
38,95,5,892430094,4
38,95,5,892430094,5
38,95,5,892430094,12
102,768,2,883748450,2
102,768,2,883748450,4
63,277,4,875747401,8
301,98,4,882075827,8
301,98,4,882075827,16
225,193,4,879539727,8
97,194,3,884238860,5
97,194,3,884238860,6
181,1081,1,878962623,6
276,796,1,874791932,5
276,796,1,874791932,14
7,32,4,891350932,7
10,16,4,877888877,5
10,16,4,877888877,14
201,979,2,884114233,8
201,979,2,884114233,16
276,564,3,874791805,5
276,564,3,874791805,11
287,327,5,875333916,6
287,327,5,875333916,8
287,327,5,875333916,13
246,201,5,884921594,1
246,201,5,884921594,2
246,201,5,884921594,5
246,201,5,884921594,11
178,332,3,882823437,6
178,332,3,882823437,8
178,332,3,882823437,16
251,100,4,886271884,6
251,100,4,886271884,8
251,100,4,886271884,16
59,196,5,888205088,8
72,679,2,880037164,1
72,679,2,880037164,2
290,143,5,880474293,12
42,423,5,881107687,4
42,423,5,881107687,8
42,423,5,881107687,9
42,423,5,881107687,15
292,515,4,881103977,1
292,515,4,881103977,8
292,515,4,881103977,17
115,20,3,881171009,8
115,20,3,881171009,14
20,288,1,879667584,11
20,288,1,879667584,16
201,219,4,884112673,11
13,526,3,882141053,1
13,526,3,882141053,2
13,526,3,882141053,8
246,919,4,884920949,2
246,919,4,884920949,15
167,232,1,892738341,1
167,232,1,892738341,5
167,232,1,892738341,18
60,427,5,883326620,8
223,274,4,891550094,5
223,274,4,891550094,14
243,15,3,879987440,8
246,416,3,884923047,4
246,416,3,884923047,8
241,690,2,887249482,8
241,690,2,887249482,17
178,248,4,882823954,5
178,248,4,882823954,6
293,5,3,888906576,6
293,5,3,888906576,8
293,5,3,888906576,16
225,237,5,879539643,8
225,237,5,879539643,14
299,229,3,878192429,1
299,229,3,878192429,2
299,229,3,878192429,15
276,54,3,874791025,1
276,54,3,874791025,8
276,54,3,874791025,16
291,144,5,874835091,1
291,144,5,874835091,16
222,366,4,878183381,8
267,518,5,878971773,8
11,111,4,891903862,5
11,111,4,891903862,14
8,338,4,879361873,5
162,25,4,877635573,5
87,1016,4,879876194,1
87,1016,4,879876194,2
87,1016,4,879876194,16
279,154,5,875296291,5
119,1153,5,874781198,8
119,1153,5,874781198,12
62,498,4,879373848,1
62,498,4,879373848,2
62,498,4,879373848,14
62,498,4,879373848,17
28,209,4,881961214,5
28,209,4,881961214,8
28,209,4,881961214,12
135,23,4,879857765,8
135,23,4,879857765,16
32,294,3,883709863,5
90,382,5,891383835,5
90,382,5,891383835,8
286,208,4,877531942,5
286,208,4,877531942,11
293,685,3,888905170,1
293,685,3,888905170,16
216,144,4,880234639,1
216,144,4,880234639,16
250,496,4,878090499,8
271,132,5,885848672,2
271,132,5,885848672,4
271,132,5,885848672,8
271,132,5,885848672,12
198,498,3,884207492,1
198,498,3,884207492,2
198,498,3,884207492,14
198,498,3,884207492,17
42,96,5,881107178,1
42,96,5,881107178,15
42,96,5,881107178,16
110,307,4,886987260,6
110,307,4,886987260,11
110,307,4,886987260,13
110,307,4,886987260,16
58,144,4,884304936,1
58,144,4,884304936,16
90,648,4,891384754,5
90,648,4,891384754,14
271,346,4,885844430,6
271,346,4,885844430,8
62,21,3,879373460,1
62,21,3,879373460,2
62,21,3,879373460,5
62,21,3,879373460,12
62,21,3,879373460,16
279,832,3,881375854,4
279,832,3,881375854,8
279,832,3,881375854,9
94,789,4,891720887,5
94,789,4,891720887,8
128,485,3,879966895,12
128,485,3,879966895,14
298,317,4,884182806,8
44,195,5,878347874,1
44,195,5,878347874,15
44,195,5,878347874,16
264,200,5,886122352,11
194,385,2,879524643,1
194,385,2,879524643,2
194,385,2,879524643,5
194,385,2,879524643,14
250,264,3,878089182,15
250,264,3,878089182,16
41,265,3,890687042,1
41,265,3,890687042,16
224,245,3,888082216,1
224,245,3,888082216,8
224,245,3,888082216,16
224,245,3,888082216,17
82,135,3,878769629,8
82,135,3,878769629,13
82,135,3,878769629,15
82,135,3,878769629,16
262,1147,4,879791710,8
293,471,3,888904884,8
293,471,3,888904884,17
216,658,3,880245029,8
59,23,5,888205300,8
59,23,5,888205300,16
286,379,5,877533771,11
244,815,4,880605185,8
244,815,4,880605185,14
7,479,4,891352010,13
7,479,4,891352010,16
174,368,1,886434402,5
87,274,4,879876734,5
87,274,4,879876734,14
13,836,2,882139746,5
13,836,2,882139746,14
244,756,2,880605157,5
305,427,5,886323090,8
43,14,2,883955745,8
43,14,2,883955745,14
84,405,3,883452363,1
84,405,3,883452363,2
84,405,3,883452363,13
269,504,4,891449922,6
269,504,4,891449922,8
299,111,3,877878184,5
299,111,3,877878184,14
194,466,4,879525876,16
99,268,3,885678247,8
99,268,3,885678247,14
10,486,4,877886846,5
10,486,4,877886846,14
259,117,4,874724988,1
259,117,4,874724988,2
259,117,4,874724988,16
85,427,3,879456350,8
303,919,4,879467295,2
303,919,4,879467295,15
213,273,5,878870987,1
213,273,5,878870987,6
213,273,5,878870987,16
121,514,3,891387947,5
121,514,3,891387947,14
90,98,5,891383204,8
90,98,5,891383204,16
49,559,2,888067405,8
49,559,2,888067405,11
42,794,3,881108425,8
42,794,3,881108425,14
68,117,4,876973939,1
68,117,4,876973939,2
68,117,4,876973939,16
268,231,4,875744136,1
268,231,4,875744136,2
268,231,4,875744136,5
268,231,4,875744136,6
5,2,3,875636053,1
5,2,3,875636053,2
5,2,3,875636053,16
43,137,4,875975656,8
279,1336,1,875298353,4
279,1336,1,875298353,5
279,1336,1,875298353,9
254,164,4,886472768,1
254,164,4,886472768,2
254,164,4,886472768,15
254,164,4,886472768,16
66,298,4,883601324,1
66,298,4,883601324,15
66,298,4,883601324,16
18,443,3,880130193,11
268,1035,2,875542174,5
13,98,4,881515011,8
13,98,4,881515011,16
26,258,3,891347949,8
26,258,3,891347949,15
7,455,4,891353086,1
222,755,4,878183481,1
222,755,4,878183481,2
222,755,4,878183481,4
222,755,4,878183481,9
222,755,4,878183481,15
200,673,5,884128554,10
200,673,5,884128554,16
119,328,4,876923913,1
119,328,4,876923913,13
119,328,4,876923913,14
119,328,4,876923913,16
213,172,5,878955442,1
213,172,5,878955442,2
213,172,5,878955442,8
213,172,5,878955442,14
213,172,5,878955442,15
213,172,5,878955442,17
276,322,3,874786392,13
276,322,3,874786392,16
130,379,4,875801662,11
38,328,4,892428688,1
38,328,4,892428688,13
38,328,4,892428688,14
38,328,4,892428688,16
160,719,3,876857977,5
160,719,3,876857977,17
130,216,4,875216545,5
130,216,4,875216545,14
1,61,4,878542420,8
72,48,4,880036718,7
13,360,4,882140926,7
15,405,2,879455957,1
15,405,2,879455957,2
15,405,2,879455957,13
92,77,3,875654637,8
92,77,3,875654637,16
232,483,5,888549622,8
232,483,5,888549622,14
232,483,5,888549622,17
251,748,2,886272175,1
251,748,2,886272175,14
251,748,2,886272175,16
181,220,4,878962392,5
181,220,4,878962392,14
259,255,4,874724710,5
259,255,4,874724710,14
305,471,4,886323648,8
305,471,4,886323648,17
161,202,5,891170769,5
161,202,5,891170769,14
97,228,5,884238860,1
97,228,5,884238860,2
97,228,5,884238860,15
58,1098,4,884304936,5
90,347,4,891383319,5
90,347,4,891383319,8
194,181,3,879521396,1
194,181,3,879521396,2
194,181,3,879521396,14
194,181,3,879521396,15
194,181,3,879521396,17
125,478,4,879454628,5
125,478,4,879454628,14
110,688,1,886987605,5
299,14,4,877877775,8
299,14,4,877877775,14
151,10,5,879524921,8
151,10,5,879524921,17
269,127,4,891446165,1
269,127,4,891446165,6
269,127,4,891446165,8
6,14,5,883599249,8
6,14,5,883599249,14
303,69,5,879467542,5
303,69,5,879467542,14
303,69,5,879467542,17
276,1091,3,874793035,2
276,1091,3,874793035,3
276,1091,3,874793035,4
276,1091,3,874793035,12
305,214,2,886323068,8
305,214,2,886323068,12
305,214,2,886323068,17
91,323,2,891438397,1
91,323,2,891438397,16
87,554,4,879875940,1
87,554,4,879875940,2
294,109,4,877819599,5
294,109,4,877819599,15
286,171,4,877531791,5
286,171,4,877531791,15
200,318,5,884128458,8
200,318,5,884128458,17
229,328,1,891632142,1
229,328,1,891632142,13
229,328,1,891632142,14
229,328,1,891632142,16
178,568,4,882826555,1
178,568,4,882826555,14
178,568,4,882826555,16
303,842,2,879484804,4
303,842,2,879484804,5
